Anyo,Mes,Dia,Ventas,Prediccion
2014,10,25,1126,1839.1492122916334
2014,10,28,860,1409.420886462886
2014,10,30,1020,1601.6687778263854
2014,11,1,2028,1675.0666039960095
2014,11,3,931,1132.1727361450176
2014,11,6,849,1132.1727361450176
2014,11,7,991,1291.753888428947
2014,11,13,879,1132.1168906062196
2014,11,16,1058,1347.3219476561173
2014,11,18,476,975.5415623357501
2014,11,21,736,1076.2130395517322
2014,11,22,876,1577.7298108568914
2014,11,23,888,1451.3539566599493
2014,11,24,502,1288.3551510434984
2014,11,25,395,1076.2130395517322
2014,11,27,512,999.4305266428872
2014,11,28,528,1146.10496534288
2014,12,3,475,784.4313240812252
2014,12,6,1195,1242.5106127344277
2014,12,11,365,913.8503390386038
2014,12,13,759,1193.8088654939884
2014,12,14,770,1123.2054406249467
2014,12,17,336,863.4193199801974
2014,12,24,427,611.4410938345351
2015,1,11,1014,1425.3311606205532
2015,1,12,466,603.8076505280092
2015,1,13,520,588.8392417843581
2015,1,15,419,581.234691144958
2015,1,16,494,609.3958507433105
2015,1,25,940,1203.4878983012231
2015,1,27,481,603.5588055144901
2015,2,2,578,684.1777337482807
2015,2,4,539,684.1777337482807
2015,2,7,949,1338.499276487676
2015,2,10,507,718.3729081140946
2015,2,14,1233,1425.385201453785
2015,2,16,605,762.0446242782361
2015,2,17,582,777.0130330218872
2015,2,20,834,724.8658164907098
2015,2,22,1021,1441.5487885431132
2015,2,24,456,735.9448444403324
2015,3,1,1280,1775.0850625249006
2015,3,4,575,915.3466944372051
2015,3,6,963,1138.3238135801384
2015,3,10,665,1193.0484306278581
2015,3,18,846,1065.4627538173097
2015,3,20,1054,1061.1905585260943
2015,3,21,1472,1709.5627269579916
2015,4,2,2334,2108.491300193347
2015,4,4,2788,2087.644234574739
2015,4,8,995,1344.8317546029036
2015,4,9,1213,1064.8101076110058
2015,4,12,1733,2024.1058002935154
2015,4,13,967,1500.8572662871395
2015,4,15,938,1374.4386954646504
2015,4,16,1219,1269.879773051605
2015,4,17,1290,1374.4386954646504
2015,4,20,1004,1342.2734842918092
2015,4,21,807,1411.9749317789822
2015,4,23,1163,1468.6920551142982
2015,4,30,1571,1559.5289064963272
2015,5,4,1109,1428.2679721134614
2015,5,5,1014,1332.4056245419918
2015,5,11,1300,1614.4874183719835
2015,5,16,2339,2270.9405604425747
2015,5,19,973,1494.791834952202
2015,5,21,1270,1411.9749317789822
2015,5,22,1759,1411.9749317789822
2015,5,25,1120,1487.1765074139905
2015,6,1,1503,1647.673073138488
2015,6,8,1566,1646.3977229492173
2015,6,9,1244,1646.3977229492173
2015,6,16,1486,1519.3417185868318
2015,6,19,2143,1796.1676489772437
2015,6,20,2744,2511.671214506074
2015,6,26,2546,1770.06786913934
2015,6,30,2031,1838.658402405418
