anyo,mes,dia,Prediccion_de_ventas
2017,12,31,700.8410228
2018,1,1,1807.810929
2018,1,2,951.8378147
2018,1,3,834.9109491
2018,1,4,780.0515645
2018,1,5,733.780104
2018,1,6,1146.189892
2018,1,7,1005.093652
2018,1,8,752.4655182
2018,1,9,716.7220224
2018,1,10,678.5036538
2018,1,11,669.7803313
2018,1,12,669.7803313
2018,1,13,1038.318459
2018,1,14,1016.882029
2018,1,15,722.0762264
2018,1,16,722.0762264
2018,1,17,722.0762264
2018,1,18,722.0762264
