Id_heladeria,Des_Heladeria,Comunidad_Autonoma,Consumo_In_Situ,Productos_Premium,HorasAbierto,Fecha,Anyo,Mes,Dia,Tipo,Temperatura,Ventas
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,6,26,0,31.7,1477
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,6,27,0,31.3,1982
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,6,28,0,30.8,2155
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,6,29,1,31.4,2626
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,6,30,2,33.3,0
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,7,1,0,34.2,1739
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,7,2,0,32.4,1809
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,7,3,0,34.6,1805
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,7,4,0,0,1764
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,7,5,0,36.8,2228
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,7,6,1,0,2893
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,7,7,2,35.9,3077
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,7,8,0,37.3,2471
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,7,9,0,36.8,2232
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,7,10,0,34.1,2412
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,7,11,0,35.2,2225
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,7,12,0,35.8,2720
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,7,13,1,34,3287
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,7,14,2,33.1,3278
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,7,15,0,33.6,2603
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,7,16,0,34.3,2397
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,7,17,0,34.4,2513
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,7,18,0,34.3,2553
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,7,19,0,35.6,2975
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,7,20,1,34.8,3417
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,7,21,2,33.1,3658
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,7,22,0,33.4,2615
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,7,23,0,33.6,2275
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,7,24,0,34.8,2586
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,7,25,0,35.4,2605
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,7,26,0,34.3,2916
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,7,27,1,26.5,3553
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,7,28,2,25.4,3322
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,7,29,0,28.9,2714
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,7,30,0,33.6,2394
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,7,31,0,37.2,2481
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,8,1,0,37.2,2616
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,8,2,0,33.4,3077
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,8,3,1,33.7,3961
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,8,4,2,34.9,3700
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,8,5,0,35.5,3270
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,8,6,0,31.4,3227
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,8,7,0,30.7,3548
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,8,8,0,29.5,3959
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,8,9,0,32.4,4107
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,8,10,1,35.6,4475
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,8,11,2,37.2,4381
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,8,12,0,36.3,4016
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,8,13,0,34.4,3900
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,8,14,0,35.1,3883
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,8,15,3,35.3,4903
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,8,16,0,35.3,4269
